id,roa,recall,precision,actual_id,pred_id,cov,mdr,subject,mvc,attempt
114,0.4960212201591513,1.0000000000000002,0.4960212201591513,197,112,0.3615699025950708,1.4044344425201416e-06,1,10,3
115,1.0,1.0,1.0,135,139,0.1502201875599439,8.23289155960083e-07,1,10,3
116,0.9392712550607287,0.9957081545064378,0.943089430894309,93,43,0.1794915554299198,9.164214134216309e-07,1,10,3
117,0.9947368421052628,0.994736842105263,0.9999999999999999,190,105,0.1377812844839515,7.040798664093018e-07,1,10,3
118,1.0,1.0,1.0,61,46,0.14550207227574477,9.015202522277832e-07,1,10,3
119,0.9774436090225563,1.0,0.9774436090225563,261,294,0.17473271282886663,4.954636096954346e-07,1,10,3
120,0.9958677685950409,0.9958677685950411,0.9999999999999998,73,50,0.14323388857165992,8.977949619293213e-07,1,10,3
121,1.0,1.0,1.0,3,53,0.14364476801929416,9.387731552124023e-07,1,10,3
122,0.5077720207253886,1.0000000000000002,0.5077720207253886,178,58,0.34025274471916805,1.4379620552062988e-06,1,10,3
123,1.0000000000000002,1.0000000000000002,1.0000000000000002,70,83,0.1564849491837264,8.903443813323975e-07,1,10,3
124,1.0,1.0,1.0,232,107,0.16619737319038103,5.923211574554443e-07,1,10,3
125,0.49731182795698925,1.0,0.49731182795698925,194,297,0.3675521938164313,1.385807991027832e-06,1,10,3
126,0.5026881720430108,1.0,0.5026881720430108,199,297,0.3675521938164313,1.385807991027832e-06,1,10,3
127,0.41975308641975306,1.0,0.41975308641975306,253,156,0.4239092992402071,1.2069940567016602e-06,1,10,3
128,0.41358024691358025,1.0,0.41358024691358025,256,156,0.4239092992402071,1.2069940567016602e-06,1,10,3
129,0.9920318725099597,0.9959999999999998,0.9959999999999998,21,152,0.13895088925623986,9.313225746154785e-07,1,10,3
130,0.46808510638297873,0.9832402234636871,0.4718498659517426,207,188,0.38114239951139883,1.389533281326294e-06,1,10,3
131,0.46112600536193027,1.0,0.46112600536193027,214,188,0.38114239951139883,1.389533281326294e-06,1,10,3
132,0.5923261390887291,1.0000000000000002,0.5923261390887291,12,261,0.1608179693959781,1.5534460544586182e-06,1,10,3
133,0.5439739413680782,1.0,0.5439739413680782,223,263,0.39719592901515616,1.1436641216278076e-06,1,10,3
134,0.44336569579288027,0.9856115107913669,0.44625407166123776,252,263,0.39719592901515616,1.1436641216278076e-06,1,10,3
135,0.30820399113082025,0.8128654970760231,0.331742243436754,218,277,0.41824891826059896,1.560896635055542e-06,1,10,3
136,0.6076294277929155,1.0,0.6076294277929155,132,313,0.3423944298518881,1.3671815395355225e-06,1,10,3
137,1.0000000000000004,1.0000000000000002,1.0000000000000002,88,0,0.13911213182001203,8.642673492431641e-07,1,10,4
138,0.3675675675675676,1.0,0.3675675675675676,253,187,0.43877810767516445,1.3783574104309082e-06,1,10,4
139,0.3621621621621622,1.0,0.3621621621621622,256,187,0.43877810767516445,1.3783574104309082e-06,1,10,4
140,1.0000000000000002,1.0000000000000002,1.0000000000000002,120,2,0.16888403022875942,8.381903171539307e-07,1,10,4
141,0.995652173913043,0.9956521739130433,0.9999999999999998,109,3,0.14810770977092383,8.530914783477783e-07,1,10,4
142,1.0000000000000002,1.0000000000000002,1.0000000000000002,70,4,0.1564849491837264,8.903443813323975e-07,1,10,4
143,1.0000000000000004,1.0000000000000002,1.0000000000000002,17,7,0.15270788764795779,9.164214134216309e-07,1,10,4
144,1.0,1.0,1.0,232,9,0.16619737319038103,5.923211574554443e-07,1,10,4
145,0.9959016393442618,0.995901639344262,0.9999999999999998,0,11,0.15475943207437523,9.052455425262451e-07,1,10,4
146,1.0,1.0,1.0,29,242,0.1614641893697249,9.201467037200928e-07,1,10,4
147,0.31718061674008796,0.8421052631578944,0.3372365339578453,218,231,0.41183330796571826,1.5906989574432373e-06,1,10,4
148,0.9447852760736196,1.0,0.9447852760736196,237,164,0.1972515089964275,6.07222318649292e-07,1,10,4
149,0.9774436090225563,1.0,0.9774436090225563,261,116,0.17473271282886663,4.954636096954346e-07,1,10,4
150,1.0,1.0,1.0,48,20,0.15514297208140299,9.201467037200928e-07,1,10,4
151,1.0000000000000004,1.0000000000000002,1.0000000000000002,64,26,0.14565456028644017,9.052455425262451e-07,1,10,4
152,0.9959999999999996,0.9959999999999998,0.9999999999999998,21,132,0.1387390272988985,9.275972843170166e-07,1,10,4
153,0.9959349593495935,0.9959349593495935,1.0,47,32,0.14553941950923904,9.126961231231689e-07,1,10,4
154,1.0,1.0,1.0,235,39,0.13651305402881023,5.923211574554443e-07,1,10,4
155,1.0,1.0,1.0,135,37,0.1502201875599439,8.23289155960083e-07,1,10,4
156,1.0,1.0,1.0,3,43,0.14364476801929416,9.387731552124023e-07,1,10,4
157,0.5017064846416383,1.0,0.5017064846416383,244,274,0.3988257607496034,1.0915100574493408e-06,1,10,4
